Reporting Period	ID RSSD	UBPR3210	UBPR4340	UBPR7316	UBPR7402	UBPR7408	UBPR7414	UBPRD486	UBPRD488	UBPRD659	UBPRE001	UBPRE002	UBPRE003	UBPRE004	UBPRE005	UBPRE006	UBPRE007	UBPRE008	UBPRE009	UBPRE010	UBPRE011	UBPRE012	UBPRE013	UBPRE014	UBPRE015	UBPRE016	UBPRE017	UBPRE018	UBPRE019	UBPRE020	UBPRE021	UBPRE022	UBPRE023	UBPRE024	UBPRE025	UBPRE026	UBPRE027	UBPRE028	UBPRE029	UBPRE541	UBPRE542	UBPRJ248	UBPRJA35	UBPRK447	UBPRKW07	
		TOTAL EQUITY CAPITAL	NET INCOME	SURVEILLANCE MODEL ASSET GROWTH RATE	TOTAL DIVIDENDS AS PERCENT OF NET IN	ANNUAL CHANGE IN TIER 1 CAPITAL	NONCURRENT ASSETS AS PERCENT OF TOTL	RBC_T1_TOT_AA	RBC_TOT_RWA	ASET_QAVG_CYA	INC_AA	INT_EXP_AA	INT_INC_NET_AA	INC_NONINT_AA	OVHD_EXP_AA	PROV_LNLS_ATTR_AA	INC_PTAX_OP_AA	SEC_GN_AA	INC_PTAX_NET_OP_AA	INC_NET_OP_AA	INC_BEI_AA	INC_NET_SUBS_AA	INC_NET_AA	EA_AVG_AA	LIAB_IB_AA	INT_INC_EA	INT_EXP_EA	INT_INC_NET_EA	NET_LNLS_AVG_CYB	NOI_LNLS_CHGFF_CYB	LNLS_LOS_NET	LNLS_LOS_NHFS	LNLS_LOS_TOT	LNLS_ASET_TOT	NI_DIVD_ECAP_CYB	LNLS_NINV_ORE_CAP	LNLS_NET_GY	INV_TEMP_GY	NCORE_FND_LT1_GY	LNLS_TOT_PD_90_GRS	LNLS_TOT_NACCR	INCNET_NONCON_AA	Unrealized holding gains (losses) on	NCORE DPDNCY INS LIMIT TIME DEP	Provision for credit losses on all o	
6/30/2021 11:59:59 PM	849348	27231	2723	12.93	0	11.04	0.67	9.2186		246460	3.74	0.43	3.31	0.92	1.66	0.02	2.54	0	2.55	2.21	2.23	2.01	2.21	95.8	71.03	3.9	0.45	3.45	0.02	261.91	105.41	1.87	1.87	48.94	20.86	1.31	-0.06	-45.07	-28.2	0.36	0.31	0	0.01	11.83		
6/30/2021 11:59:59 PM	849357	36219	2659	11.48	0	-1.32	1.71	10.4559	20.6946	323098	4.46	0.08	4.38	0.26	2.94	0	1.69	0	1.69	1.65	1.74	1.34	1.65	92.32	34.69	4.83	0.09	4.74	-0.16			1.85	1.85	56.62	15.39	20	-4.63	85.17	7.7	0	1.71	0	0	-37.98		
6/30/2021 11:59:59 PM	849432	23289	1136	9.93	0	6.79	0.15	12.8368	23.3748	180132	3.52	0.23	3.29	0.88	2.55	0.08	1.54	0.05	1.59	1.26	1.41	1.26	1.26	92.02	62.91	3.83	0.25	3.57	-0.12			1.16	1.16	55.33	10	2.69	10.88	-22.13	-12.59	0	0.15	0	0	-7.48		
6/30/2021 11:59:59 PM	850036	471906	38967	-4.37	38.49	11.06	0.55	7.1368	16.2672	5659689	2.57	0.31	2.26	0.79	2.53	0	0.52	0.91	1.43	1.38	1.42	1.13	1.38	97.49	65.06	2.64	0.32	2.32	-0.12			1.43	1.41	36.88	10.09	6.98	-12.94	250.66	-31.3	0.05	0.5	0	0	5.68		
6/30/2021 11:59:59 PM	850054	12958	992	-2.64	10.89	6.45	0	8.4767	18.9929	152363	3.21	0.24	2.98	0.26	1.85	0.02	1.36	0	1.36	1.3	1.34	1.08	1.3	94.59	69.12	3.4	0.25	3.15	-0.02			1.72	1.72	43.24	13.95	0	-2.78	17.98	-62.12	0	0	0	0	-62.85		
6/30/2021 11:59:59 PM	850456	22081	1214	15.5	30.56	6.67	0.12	9.1143		235736	3.99	0.38	3.6	0.32	2.5	0.07	1.35	0	1.35	1.03	1.06	1.03	1.03	96.96	71.04	4.11	0.39	3.72	0.06	32.88	19.72	1.19	1.19	68.56	7.78	0.85	4.6	1.48	4.48	0.08	0.04	0	0	-12.75		
6/30/2021 11:59:59 PM	851060	10372	183	4.48	0	2.73	0	10.0037		97055	1.84	0.2	1.64	0.19	1.35	0	0.48	0	0.48	0.38	0.38	0.38	0.38	96.73	47.96	1.9	0.2	1.7	-0.03			1.3	1.3	14.13	3.52	0	9.41	-7.53	25.59	0	0	0	0	-33.72		
6/30/2021 11:59:59 PM	851172	30605	568	1.63	6.16	3.25	0.31	20.3592		148791	3.57	0.57	3	0.11	2.08	0	1.02	0	1.02	0.76	0.76	0.76	0.76	92.67	76.38	3.85	0.62	3.24	0			0.9	0.9	61.5	3.51	1.12	-3.45	11.63	2.74	0	0.31	0	0	3.17		
6/30/2021 11:59:59 PM	851239	38595	1640	7.94	0	5.49	0.51	7.6833	13.3258	454518	3.72	0.28	3.45	0.9	3.39	0.04	0.91	0	0.91	0.72	0.72	0.72	0.72	94.2	64.21	3.95	0.29	3.66	0.07	18.38	13.1	0.93	0.92	69.7	8.69	9.42	3.68	26.28	-19.59	0.05	0.45	0	0	-9.81		
6/30/2021 11:59:59 PM	851631	32012	2022	17.94	62.31	6.13	0.68	7.4066	12.9807	375413	3.22	0.16	3.06	1.21	3.01	0.09	1.17	-0.01	1.16	1.08	1.1	0.92	1.08	96.24	70.69	3.34	0.17	3.18	0.11	18.74	10.94	1.17	1.17	58.89	4.78	7.15	3.47	-24.48	142.39	0.03	0.65	0	0	2.01		
